timestamp,left_ear,right_ear,mean_ear,mar,pitch_deg,yaw_deg,score,alarm_stage
2026-03-07T08:37:30.485568,0.371,0.320,0.345,0.215,-12.7,6.2,0.0,0
2026-03-07T08:37:30.560037,0.377,0.320,0.348,0.214,-14.3,6.9,0.0,0
2026-03-07T08:37:30.639536,0.388,0.341,0.365,0.152,-15.8,4.5,0.0,0
2026-03-07T08:37:30.744375,0.390,0.338,0.364,0.062,-16.4,5.4,0.0,0
2026-03-07T08:37:30.826235,0.355,0.307,0.331,0.030,-17.3,5.6,0.0,0
2026-03-07T08:37:30.940901,0.384,0.327,0.355,0.013,-17.3,5.1,0.0,0
2026-03-07T08:37:31.034170,0.389,0.350,0.370,0.112,-16.0,6.3,0.0,0
2026-03-07T08:37:31.130166,0.386,0.345,0.366,0.035,-15.2,6.8,0.0,0
2026-03-07T08:37:31.249826,0.399,0.360,0.379,0.019,-14.8,7.3,0.0,0
2026-03-07T08:37:31.338748,0.393,0.358,0.376,0.035,-13.9,6.7,0.0,0
2026-03-07T08:37:31.443237,0.358,0.311,0.334,0.016,-12.3,5.4,0.0,0
2026-03-07T08:37:31.527695,0.179,0.113,0.146,0.012,-10.2,3.8,0.0,0
2026-03-07T08:37:31.641059,0.106,0.080,0.093,0.005,-10.5,3.3,0.2,0
2026-03-07T08:37:31.747545,0.120,0.106,0.113,0.013,-10.3,2.4,0.4,0
2026-03-07T08:37:31.837487,0.085,0.059,0.072,0.017,-10.2,2.1,0.6,0
2026-03-07T08:37:31.955603,0.078,0.054,0.066,0.007,-11.6,3.0,0.9,0
2026-03-07T08:37:32.042128,0.099,0.072,0.085,0.011,-11.4,2.7,1.0,0
2026-03-07T08:37:32.149950,0.104,0.082,0.093,0.008,-11.8,2.1,1.2,0
2026-03-07T08:37:32.258671,0.098,0.067,0.083,0.005,-11.6,2.4,1.4,0
2026-03-07T08:37:32.351893,0.083,0.049,0.066,0.010,-13.6,2.4,1.6,0
2026-03-07T08:37:32.447659,0.088,0.069,0.079,0.007,-15.7,2.8,1.8,0
2026-03-07T08:37:32.536226,0.111,0.089,0.100,0.013,-13.6,2.4,2.0,0
2026-03-07T08:37:32.652283,0.117,0.096,0.106,0.009,-14.3,3.0,2.2,0
2026-03-07T08:37:32.746359,0.117,0.109,0.113,0.010,-11.2,4.1,2.4,0
2026-03-07T08:37:32.856853,0.123,0.116,0.119,0.019,-9.4,4.6,2.6,0
2026-03-07T08:37:32.956431,0.121,0.102,0.112,0.017,-10.0,3.9,2.9,0
2026-03-07T08:37:33.015990,0.115,0.094,0.104,0.015,-10.1,5.0,3.0,0
2026-03-07T08:37:33.145019,0.097,0.088,0.093,0.015,-12.0,3.9,3.2,1
2026-03-07T08:37:33.267158,0.090,0.079,0.084,0.016,-12.5,4.2,3.5,1
2026-03-07T08:37:33.346767,0.092,0.088,0.090,0.021,-11.7,5.1,3.6,1
2026-03-07T08:37:33.416844,0.086,0.070,0.078,0.015,-12.3,5.4,3.8,1
2026-03-07T08:37:33.554646,0.093,0.081,0.087,0.015,-14.9,4.9,4.1,1
2026-03-07T08:37:33.648319,0.106,0.081,0.094,0.024,-13.4,5.0,4.2,1
2026-03-07T08:37:33.721753,0.117,0.125,0.121,0.014,-15.2,4.5,4.4,1
2026-03-07T08:37:33.822026,0.096,0.084,0.090,0.020,-13.4,4.8,4.6,1
2026-03-07T08:37:33.971274,0.215,0.256,0.236,0.011,-17.7,4.0,4.8,0
2026-03-07T08:37:34.034931,0.314,0.300,0.307,0.009,-17.9,3.6,4.8,0
2026-03-07T08:37:34.122104,0.229,0.257,0.243,0.008,-16.4,2.7,4.7,0
2026-03-07T08:37:34.220518,0.083,0.067,0.075,0.009,-14.2,2.9,4.8,0
2026-03-07T08:37:34.332439,0.091,0.074,0.082,0.014,-13.4,3.8,5.0,0
2026-03-07T08:37:34.432226,0.079,0.055,0.067,0.014,-12.0,4.1,5.2,0
2026-03-07T08:37:34.529208,0.096,0.061,0.079,0.016,-13.3,4.4,5.4,0
2026-03-07T08:37:34.645006,0.088,0.066,0.077,0.014,-13.6,5.0,5.7,0
2026-03-07T08:37:34.740207,0.097,0.073,0.085,0.012,-15.0,4.1,5.9,0
2026-03-07T08:37:34.831644,0.104,0.094,0.099,0.013,-14.9,4.6,6.0,0
2026-03-07T08:37:34.946735,0.099,0.098,0.098,0.012,-15.5,4.0,6.3,0
2026-03-07T08:37:35.038231,0.132,0.166,0.149,0.014,-13.8,3.4,6.5,0
2026-03-07T08:37:35.134672,0.108,0.139,0.124,0.011,-13.5,3.6,6.6,0
2026-03-07T08:37:35.243987,0.114,0.119,0.116,0.013,-15.9,4.1,6.9,0
2026-03-07T08:37:35.336390,0.115,0.142,0.129,0.011,-14.7,3.8,7.1,0
2026-03-07T08:37:35.447393,0.124,0.116,0.120,0.012,-15.8,3.5,7.3,0
2026-03-07T08:37:35.534397,0.142,0.134,0.138,0.012,-14.5,2.6,7.5,0
2026-03-07T08:37:35.657170,0.151,0.156,0.154,0.012,-14.8,2.5,7.7,0
2026-03-07T08:37:35.743517,0.161,0.168,0.164,0.019,-14.5,2.0,7.9,1
2026-03-07T08:37:35.838021,0.135,0.162,0.149,0.018,-16.2,3.0,8.1,1
2026-03-07T08:37:35.956860,0.104,0.105,0.104,0.015,-15.1,3.2,8.3,1
2026-03-07T08:37:36.044023,0.119,0.118,0.118,0.017,-14.2,2.6,8.5,1
2026-03-07T08:37:36.136755,0.119,0.122,0.120,0.014,-14.9,3.2,8.7,1
